Time,IMU_SHIN_L_YAW,IMU_SHIN_L_PITCH,IMU_SHIN_L_ROLL,IMU_SHIN_R_YAW,IMU_SHIN_R_PITCH,IMU_SHIN_R_ROLL,FSR_HEEL_L_RAW,FSR_HEEL_R_RAW,IMU_FOOT_L_YAW,IMU_FOOT_L_PITCH,IMU_FOOT_L_ROLL,IMU_FOOT_R_YAW,IMU_FOOT_R_PITCH,IMU_FOOT_R_ROLL,
6.51,0.00,-0.26,-2.54,-0.01,0.38,-5.19,8.00,8.00,0.00,-0.26,-2.54,-0.01,0.38,-5.19,
6.52,0.00,-0.26,-2.54,-0.01,0.38,-5.19,8.00,9.00,0.00,-0.26,-2.54,-0.01,0.38,-5.19,
6.53,0.00,-0.26,-2.54,-0.01,0.38,-5.19,8.00,8.00,0.00,-0.26,-2.54,-0.01,0.38,-5.19,
6.54,0.00,-0.26,-2.54,-0.01,0.38,-5.19,8.00,9.00,0.00,-0.26,-2.54,-0.01,0.38,-5.19,
6.55,0.00,-0.26,-2.54,-0.01,0.38,-5.19,8.00,8.00,0.00,-0.26,-2.54,-0.01,0.38,-5.19,
6.56,0.00,-0.26,-2.54,-0.01,0.38,-5.19,8.00,8.00,0.00,-0.26,-2.54,-0.01,0.38,-5.19,
6.57,0.00,-0.26,-2.54,-0.01,0.38,-5.19,8.00,8.00,0.00,-0.26,-2.54,-0.01,0.38,-5.19,
6.58,0.00,-0.26,-2.54,-0.01,0.38,-5.19,8.00,9.00,0.00,-0.26,-2.54,-0.01,0.38,-5.19,
6.59,0.00,-0.26,-2.54,-0.01,0.38,-5.19,8.00,9.00,0.00,-0.26,-2.54,-0.01,0.38,-5.19,
6.60,0.00,-0.26,-2.54,-0.01,0.38,-5.19,8.00,8.00,0.00,-0.26,-2.54,-0.01,0.38,-5.19,
6.61,0.00,-0.26,-2.54,-0.01,0.38,-5.19,8.00,8.00,0.00,-0.26,-2.54,-0.01,0.38,-5.19,
6.62,0.00,-0.26,-2.54,-0.01,0.38,-5.19,8.00,9.00,0.00,-0.26,-2.54,-0.01,0.38,-5.19,
6.63,0.00,-0.26,-2.53,-0.01,0.38,-5.19,7.00,9.00,0.00,-0.26,-2.53,-0.01,0.38,-5.19,
6.64,0.00,-0.26,-2.53,-0.01,0.38,-5.19,8.00,8.00,0.00,-0.26,-2.53,-0.01,0.38,-5.19,
6.65,0.00,-0.26,-2.53,-0.01,0.38,-5.19,8.00,9.00,0.00,-0.26,-2.53,-0.01,0.38,-5.19,
6.66,0.00,-0.26,-2.53,-0.01,0.38,-5.19,8.00,9.00,0.00,-0.26,-2.53,-0.01,0.38,-5.19,
6.67,0.00,-0.26,-2.53,-0.01,0.38,-5.19,8.00,8.00,0.00,-0.26,-2.53,-0.01,0.38,-5.19,
6.68,0.00,-0.26,-2.53,-0.01,0.38,-5.19,8.00,8.00,0.00,-0.26,-2.53,-0.01,0.38,-5.19,
6.69,0.00,-0.26,-2.53,-0.01,0.38,-5.19,8.00,9.00,0.00,-0.26,-2.53,-0.01,0.38,-5.19,
6.70,0.00,-0.26,-2.53,-0.01,0.38,-5.19,8.00,9.00,0.00,-0.26,-2.53,-0.01,0.38,-5.19,
6.71,0.00,-0.26,-2.53,-0.01,0.38,-5.19,8.00,8.00,0.00,-0.26,-2.53,-0.01,0.38,-5.19,
6.72,0.00,-0.26,-2.53,-0.01,0.38,-5.19,9.00,8.00,0.00,-0.26,-2.53,-0.01,0.38,-5.19,
6.73,0.00,-0.26,-2.53,-0.01,0.38,-5.19,8.00,9.00,0.00,-0.26,-2.53,-0.01,0.38,-5.19,
6.74,0.00,-0.26,-2.53,-0.01,0.38,-5.19,8.00,8.00,0.00,-0.26,-2.53,-0.01,0.38,-5.19,
6.75,0.00,-0.26,-2.53,-0.01,0.38,-5.19,8.00,8.00,0.00,-0.26,-2.53,-0.01,0.38,-5.19,
6.76,0.00,-0.26,-2.53,-0.01,0.38,-5.19,8.00,8.00,0.00,-0.26,-2.53,-0.01,0.38,-5.19,
6.77,0.00,-0.26,-2.53,-0.01,0.38,-5.19,8.00,8.00,0.00,-0.26,-2.53,-0.01,0.38,-5.19,
6.78,0.00,-0.26,-2.53,-0.01,0.38,-5.19,8.00,8.00,0.00,-0.26,-2.53,-0.01,0.38,-5.19,
6.79,0.00,-0.26,-2.53,-0.01,0.38,-5.19,8.00,8.00,0.00,-0.26,-2.53,-0.01,0.38,-5.19,
6.80,0.00,-0.26,-2.53,-0.01,0.38,-5.19,8.00,9.00,0.00,-0.26,-2.53,-0.01,0.38,-5.19,
6.81,0.00,-0.26,-2.53,-0.01,0.38,-5.19,8.00,9.00,0.00,-0.26,-2.53,-0.01,0.38,-5.19,
6.82,0.00,-0.26,-2.53,-0.01,0.38,-5.19,8.00,9.00,0.00,-0.26,-2.53,-0.01,0.38,-5.19,
6.83,0.00,-0.26,-2.53,-0.01,0.38,-5.19,8.00,9.00,0.00,-0.26,-2.53,-0.01,0.38,-5.19,
6.84,0.00,-0.26,-2.53,-0.01,0.38,-5.19,8.00,8.00,0.00,-0.26,-2.53,-0.01,0.38,-5.19,
6.85,0.00,-0.26,-2.54,-0.01,0.38,-5.19,8.00,9.00,0.00,-0.26,-2.54,-0.01,0.38,-5.19,
6.86,0.00,-0.26,-2.54,-0.01,0.38,-5.19,9.00,8.00,0.00,-0.26,-2.54,-0.01,0.38,-5.19,
6.87,0.00,-0.26,-2.54,-0.01,0.38,-5.19,8.00,8.00,0.00,-0.26,-2.54,-0.01,0.38,-5.19,
6.88,0.00,-0.26,-2.54,-0.01,0.38,-5.19,8.00,8.00,0.00,-0.26,-2.54,-0.01,0.38,-5.19,
6.89,0.00,-0.26,-2.54,-0.01,0.38,-5.19,8.00,9.00,0.00,-0.26,-2.54,-0.01,0.38,-5.19,
6.90,0.00,-0.26,-2.54,-0.01,0.38,-5.19,8.00,8.00,0.00,-0.26,-2.54,-0.01,0.38,-5.19,
6.91,0.00,-0.27,-2.54,-0.01,0.38,-5.19,8.00,8.00,0.00,-0.27,-2.54,-0.01,0.38,-5.19,
6.92,0.00,-0.27,-2.54,-0.01,0.38,-5.19,8.00,8.00,0.00,-0.27,-2.54,-0.01,0.38,-5.19,
6.93,0.00,-0.27,-2.54,-0.01,0.38,-5.19,8.00,8.00,0.00,-0.27,-2.54,-0.01,0.38,-5.19,
6.94,0.00,-0.27,-2.54,-0.01,0.38,-5.19,8.00,8.00,0.00,-0.27,-2.54,-0.01,0.38,-5.19,
6.95,0.00,-0.27,-2.54,-0.01,0.38,-5.19,8.00,8.00,0.00,-0.27,-2.54,-0.01,0.38,-5.19,
6.96,0.00,-0.27,-2.54,-0.01,0.38,-5.19,8.00,8.00,0.00,-0.27,-2.54,-0.01,0.38,-5.19,
6.97,0.00,-0.27,-2.54,-0.01,0.38,-5.19,9.00,9.00,0.00,-0.27,-2.54,-0.01,0.38,-5.19,
6.98,0.00,-0.27,-2.54,-0.01,0.38,-5.19,8.00,8.00,0.00,-0.27,-2.54,-0.01,0.38,-5.19,
6.99,0.00,-0.27,-2.54,-0.01,0.38,-5.19,8.00,9.00,0.00,-0.27,-2.54,-0.01,0.38,-5.19,
7.00,0.00,-0.27,-2.54,-0.01,0.38,-5.19,8.00,9.00,0.00,-0.27,-2.54,-0.01,0.38,-5.19,
7.01,0.00,-0.27,-2.54,-0.01,0.38,-5.19,8.00,8.00,0.00,-0.27,-2.54,-0.01,0.38,-5.19,
7.02,0.00,-0.27,-2.54,-0.01,0.38,-5.19,8.00,8.00,0.00,-0.27,-2.54,-0.01,0.38,-5.19,
7.03,0.00,-0.27,-2.54,-0.01,0.38,-5.19,8.00,8.00,0.00,-0.27,-2.54,-0.01,0.38,-5.19,
7.04,0.00,-0.27,-2.54,-0.01,0.38,-5.19,8.00,9.00,0.00,-0.27,-2.54,-0.01,0.38,-5.19,
7.05,0.00,-0.27,-2.54,-0.01,0.38,-5.19,8.00,9.00,0.00,-0.27,-2.54,-0.01,0.38,-5.19,
7.06,0.00,-0.27,-2.54,-0.01,0.38,-5.18,8.00,8.00,0.00,-0.27,-2.54,-0.01,0.38,-5.18,
7.07,0.00,-0.27,-2.54,-0.01,0.38,-5.18,8.00,8.00,0.00,-0.27,-2.54,-0.01,0.38,-5.18,
7.08,0.00,-0.27,-2.54,-0.01,0.38,-5.18,8.00,8.00,0.00,-0.27,-2.54,-0.01,0.38,-5.18,
7.09,0.00,-0.27,-2.54,-0.01,0.38,-5.18,8.00,8.00,0.00,-0.27,-2.54,-0.01,0.38,-5.18,
7.10,0.00,-0.27,-2.54,-0.01,0.38,-5.18,8.00,8.00,0.00,-0.27,-2.54,-0.01,0.38,-5.18,
7.11,0.00,-0.27,-2.54,-0.01,0.38,-5.18,8.00,8.00,0.00,-0.27,-2.54,-0.01,0.38,-5.18,
7.12,0.00,-0.27,-2.54,-0.01,0.38,-5.18,8.00,8.00,0.00,-0.27,-2.54,-0.01,0.38,-5.18,
7.13,0.00,-0.27,-2.54,-0.01,0.38,-5.18,8.00,8.00,0.00,-0.27,-2.54,-0.01,0.38,-5.18,
7.14,0.00,-0.27,-2.54,-0.01,0.38,-5.18,8.00,8.00,0.00,-0.27,-2.54,-0.01,0.38,-5.18,
7.15,0.00,-0.27,-2.54,-0.01,0.38,-5.18,8.00,9.00,0.00,-0.27,-2.54,-0.01,0.38,-5.18,
7.16,0.00,-0.27,-2.54,-0.01,0.38,-5.18,8.00,9.00,0.00,-0.27,-2.54,-0.01,0.38,-5.18,
7.17,0.00,-0.27,-2.54,-0.01,0.38,-5.18,8.00,8.00,0.00,-0.27,-2.54,-0.01,0.38,-5.18,
7.18,0.00,-0.27,-2.54,-0.01,0.38,-5.18,8.00,8.00,0.00,-0.27,-2.54,-0.01,0.38,-5.18,
7.19,0.00,-0.27,-2.54,-0.01,0.38,-5.18,8.00,8.00,0.00,-0.27,-2.54,-0.01,0.38,-5.18,
7.20,0.00,-0.27,-2.54,-0.01,0.38,-5.18,8.00,9.00,0.00,-0.27,-2.54,-0.01,0.38,-5.18,
7.21,0.00,-0.27,-2.54,-0.01,0.38,-5.18,8.00,8.00,0.00,-0.27,-2.54,-0.01,0.38,-5.18,
7.22,0.00,-0.27,-2.54,-0.01,0.38,-5.18,8.00,8.00,0.00,-0.27,-2.54,-0.01,0.38,-5.18,
7.23,0.00,-0.27,-2.54,-0.01,0.38,-5.18,8.00,8.00,0.00,-0.27,-2.54,-0.01,0.38,-5.18,
7.24,0.00,-0.27,-2.54,-0.02,0.38,-5.18,8.00,9.00,0.00,-0.27,-2.54,-0.02,0.38,-5.18,
7.25,0.00,-0.27,-2.54,-0.02,0.38,-5.18,8.00,9.00,0.00,-0.27,-2.54,-0.02,0.38,-5.18,
7.26,0.00,-0.27,-2.54,-0.02,0.38,-5.18,8.00,8.00,0.00,-0.27,-2.54,-0.02,0.38,-5.18,
7.27,0.00,-0.27,-2.54,-0.02,0.38,-5.18,8.00,9.00,0.00,-0.27,-2.54,-0.02,0.38,-5.18,
7.28,0.00,-0.27,-2.54,-0.02,0.38,-5.18,8.00,9.00,0.00,-0.27,-2.54,-0.02,0.38,-5.18,
7.29,0.00,-0.27,-2.54,-0.02,0.38,-5.18,8.00,8.00,0.00,-0.27,-2.54,-0.02,0.38,-5.18,
7.30,0.00,-0.27,-2.54,-0.02,0.38,-5.18,8.00,9.00,0.00,-0.27,-2.54,-0.02,0.38,-5.18,
7.31,0.00,-0.27,-2.54,-0.02,0.38,-5.17,8.00,8.00,0.00,-0.27,-2.54,-0.02,0.38,-5.17,
7.32,0.00,-0.27,-2.54,-0.02,0.38,-5.17,8.00,8.00,0.00,-0.27,-2.54,-0.02,0.38,-5.17,
7.33,0.00,-0.27,-2.54,-0.02,0.38,-5.17,8.00,9.00,0.00,-0.27,-2.54,-0.02,0.38,-5.17,
7.34,0.00,-0.27,-2.54,-0.02,0.38,-5.17,8.00,9.00,0.00,-0.27,-2.54,-0.02,0.38,-5.17,
7.35,0.00,-0.27,-2.54,-0.02,0.38,-5.17,8.00,8.00,0.00,-0.27,-2.54,-0.02,0.38,-5.17,
7.36,0.00,-0.27,-2.54,-0.02,0.38,-5.17,8.00,8.00,0.00,-0.27,-2.54,-0.02,0.38,-5.17,
7.37,0.00,-0.27,-2.54,-0.02,0.38,-5.17,8.00,8.00,0.00,-0.27,-2.54,-0.02,0.38,-5.17,
7.38,0.00,-0.27,-2.54,-0.02,0.38,-5.17,8.00,9.00,0.00,-0.27,-2.54,-0.02,0.38,-5.17,
7.39,0.00,-0.27,-2.54,-0.02,0.38,-5.17,8.00,8.00,0.00,-0.27,-2.54,-0.02,0.38,-5.17,
7.40,0.00,-0.27,-2.54,-0.02,0.38,-5.17,8.00,8.00,0.00,-0.27,-2.54,-0.02,0.38,-5.17,
7.41,0.00,-0.27,-2.54,-0.02,0.38,-5.17,8.00,8.00,0.00,-0.27,-2.54,-0.02,0.38,-5.17,
7.42,0.00,-0.27,-2.54,-0.02,0.38,-5.17,8.00,8.00,0.00,-0.27,-2.54,-0.02,0.38,-5.17,
7.43,0.00,-0.27,-2.54,-0.02,0.38,-5.17,8.00,8.00,0.00,-0.27,-2.54,-0.02,0.38,-5.17,
7.44,0.00,-0.27,-2.54,-0.02,0.38,-5.17,8.00,8.00,0.00,-0.27,-2.54,-0.02,0.38,-5.17,
7.45,0.00,-0.27,-2.54,-0.02,0.38,-5.17,8.00,9.00,0.00,-0.27,-2.54,-0.02,0.38,-5.17,
7.46,0.00,-0.27,-2.54,-0.02,0.38,-5.17,8.00,8.00,0.00,-0.27,-2.54,-0.02,0.38,-5.17,
7.47,0.00,-0.27,-2.54,-0.02,0.38,-5.17,8.00,8.00,0.00,-0.27,-2.54,-0.02,0.38,-5.17,
7.48,0.00,-0.27,-2.54,-0.02,0.38,-5.17,8.00,8.00,0.00,-0.27,-2.54,-0.02,0.38,-5.17,
7.49,0.00,-0.27,-2.54,-0.02,0.38,-5.17,8.00,8.00,0.00,-0.27,-2.54,-0.02,0.38,-5.17,
7.50,0.00,-0.27,-2.54,-0.02,0.38,-5.17,8.00,8.00,0.00,-0.27,-2.54,-0.02,0.38,-5.17,
7.51,0.00,-0.27,-2.54,-0.02,0.38,-5.17,8.00,8.00,0.00,-0.27,-2.54,-0.02,0.38,-5.17,
7.52,0.00,-0.27,-2.54,-0.02,0.38,-5.17,8.00,8.00,0.00,-0.27,-2.54,-0.02,0.38,-5.17,
7.53,0.00,-0.27,-2.54,-0.02,0.38,-5.17,8.00,8.00,0.00,-0.27,-2.54,-0.02,0.38,-5.17,
7.54,0.00,-0.27,-2.54,-0.02,0.38,-5.17,8.00,8.00,0.00,-0.27,-2.54,-0.02,0.38,-5.17,
7.55,0.00,-0.27,-2.54,-0.02,0.38,-5.17,8.00,8.00,0.00,-0.27,-2.54,-0.02,0.38,-5.17,
7.56,0.00,-0.27,-2.54,-0.02,0.38,-5.17,8.00,8.00,0.00,-0.27,-2.54,-0.02,0.38,-5.17,
