Time,IMU_SHIN_L_YAW,IMU_SHIN_L_PITCH,IMU_SHIN_L_ROLL,IMU_SHIN_R_YAW,IMU_SHIN_R_PITCH,IMU_SHIN_R_ROLL,
2.20,-0.01,0.31,-4.56,0.01,-0.22,-1.53,
2.21,-0.01,0.31,-4.56,0.01,-0.22,-1.53,
2.22,-0.01,0.31,-4.56,0.01,-0.22,-1.53,
2.23,-0.01,0.31,-4.56,0.01,-0.22,-1.53,
2.24,-0.01,0.31,-4.56,0.01,-0.22,-1.53,
2.25,-0.01,0.31,-4.56,0.01,-0.22,-1.53,
2.26,-0.01,0.31,-4.56,0.01,-0.22,-1.53,
2.27,-0.01,0.31,-4.56,0.01,-0.22,-1.53,
2.28,-0.01,0.31,-4.56,0.01,-0.22,-1.53,
2.29,-0.01,0.31,-4.56,0.01,-0.22,-1.53,
2.30,-0.01,0.31,-4.56,0.01,-0.22,-1.53,
2.31,-0.01,0.31,-4.56,0.01,-0.22,-1.53,
2.32,-0.01,0.31,-4.56,0.01,-0.22,-1.53,
2.33,-0.01,0.31,-4.56,0.01,-0.22,-1.53,
2.34,-0.01,0.31,-4.56,0.01,-0.22,-1.53,
2.35,-0.01,0.31,-4.56,0.01,-0.22,-1.53,
2.36,-0.01,0.31,-4.56,0.01,-0.22,-1.53,
2.37,-0.01,0.31,-4.56,0.01,-0.22,-1.53,
2.38,-0.01,0.31,-4.56,0.01,-0.22,-1.53,
2.39,-0.01,0.31,-4.56,0.01,-0.22,-1.53,
2.40,-0.01,0.31,-4.56,0.01,-0.22,-1.53,
2.41,-0.01,0.31,-4.56,0.01,-0.22,-1.53,
2.42,-0.01,0.31,-4.56,0.01,-0.22,-1.53,
2.43,-0.01,0.31,-4.56,0.01,-0.22,-1.53,
2.44,-0.01,0.31,-4.56,0.01,-0.22,-1.53,
2.45,-0.01,0.31,-4.56,0.01,-0.22,-1.53,
2.46,-0.01,0.31,-4.56,0.01,-0.22,-1.53,
2.47,-0.01,0.31,-4.56,0.01,-0.22,-1.53,
2.48,-0.01,0.31,-4.56,0.01,-0.22,-1.53,
2.49,-0.01,0.31,-4.56,0.01,-0.22,-1.53,
2.50,-0.01,0.31,-4.56,0.01,-0.22,-1.53,
2.51,-0.01,0.31,-4.56,0.01,-0.22,-1.53,
2.52,-0.01,0.31,-4.56,0.01,-0.22,-1.53,
2.53,-0.01,0.31,-4.56,0.01,-0.22,-1.53,
2.54,-0.01,0.31,-4.56,0.01,-0.22,-1.53,
2.55,-0.01,0.31,-4.56,0.01,-0.22,-1.53,
2.56,-0.01,0.31,-4.56,0.01,-0.22,-1.53,
2.57,-0.01,0.31,-4.56,0.01,-0.22,-1.53,
2.58,-0.01,0.31,-4.56,0.01,-0.22,-1.53,
2.59,-0.01,0.31,-4.56,0.01,-0.22,-1.53,
2.60,-0.01,0.31,-4.56,0.01,-0.22,-1.53,
2.61,-0.01,0.31,-4.56,0.01,-0.22,-1.53,
2.62,-0.01,0.31,-4.56,0.01,-0.22,-1.53,
2.63,-0.01,0.31,-4.56,0.01,-0.23,-1.53,
2.64,-0.01,0.31,-4.56,0.01,-0.23,-1.53,
2.65,-0.01,0.31,-4.56,0.01,-0.23,-1.53,
2.66,-0.01,0.31,-4.56,0.01,-0.23,-1.53,
2.67,-0.01,0.31,-4.56,0.01,-0.23,-1.53,
2.68,-0.01,0.31,-4.56,0.01,-0.23,-1.53,
2.69,-0.01,0.31,-4.56,0.01,-0.23,-1.53,
2.70,-0.01,0.31,-4.56,0.01,-0.23,-1.53,
2.71,-0.01,0.31,-4.56,0.01,-0.23,-1.53,
2.72,-0.01,0.31,-4.56,0.01,-0.23,-1.53,
2.73,-0.01,0.31,-4.56,0.01,-0.23,-1.53,
2.74,-0.01,0.31,-4.56,0.01,-0.23,-1.53,
2.75,-0.01,0.31,-4.56,0.01,-0.23,-1.53,
2.76,-0.01,0.31,-4.56,0.01,-0.23,-1.54,
2.77,-0.01,0.31,-4.56,0.01,-0.23,-1.54,
2.78,-0.01,0.31,-4.56,0.01,-0.23,-1.54,
2.79,-0.01,0.31,-4.56,0.01,-0.23,-1.54,
2.80,-0.01,0.31,-4.56,0.01,-0.23,-1.54,
2.81,-0.01,0.31,-4.56,0.01,-0.23,-1.54,
2.82,-0.01,0.31,-4.56,0.01,-0.23,-1.54,
2.83,-0.01,0.31,-4.56,0.01,-0.23,-1.54,
2.84,-0.01,0.31,-4.56,0.01,-0.23,-1.54,
2.85,-0.01,0.31,-4.56,0.01,-0.23,-1.54,
2.86,-0.01,0.31,-4.56,0.01,-0.23,-1.54,
2.87,-0.01,0.31,-4.56,0.01,-0.23,-1.54,
2.88,-0.01,0.31,-4.56,0.00,-0.23,-1.54,
2.89,-0.01,0.31,-4.56,0.01,-0.23,-1.54,
2.90,-0.01,0.31,-4.56,0.01,-0.23,-1.54,
2.91,-0.01,0.31,-4.56,0.01,-0.23,-1.54,
2.92,-0.01,0.31,-4.56,0.01,-0.23,-1.54,
2.93,-0.01,0.31,-4.56,0.00,-0.23,-1.54,
2.94,-0.01,0.31,-4.56,0.00,-0.23,-1.54,
2.95,-0.01,0.31,-4.56,0.00,-0.23,-1.54,
2.96,-0.01,0.31,-4.56,0.00,-0.23,-1.54,
2.97,-0.01,0.31,-4.56,0.00,-0.23,-1.54,
2.98,-0.01,0.31,-4.56,0.00,-0.23,-1.54,
2.99,-0.01,0.31,-4.56,0.00,-0.23,-1.54,
3.00,-0.01,0.31,-4.56,0.00,-0.23,-1.54,
3.01,-0.01,0.31,-4.56,0.00,-0.23,-1.55,
3.02,-0.01,0.31,-4.56,0.00,-0.23,-1.55,
3.03,-0.01,0.31,-4.56,0.00,-0.23,-1.55,
3.04,-0.01,0.31,-4.56,0.00,-0.23,-1.55,
3.05,-0.01,0.31,-4.56,0.00,-0.23,-1.55,
3.06,-0.01,0.31,-4.56,0.00,-0.23,-1.55,
3.07,-0.01,0.31,-4.56,0.01,-0.23,-1.55,
3.08,-0.01,0.31,-4.56,0.01,-0.23,-1.55,
3.09,-0.01,0.31,-4.56,0.01,-0.23,-1.55,
3.10,-0.01,0.31,-4.56,0.01,-0.23,-1.55,
3.11,-0.01,0.31,-4.56,0.01,-0.23,-1.55,
3.12,-0.01,0.31,-4.56,0.01,-0.23,-1.55,
3.13,-0.01,0.31,-4.56,0.01,-0.23,-1.55,
3.14,-0.01,0.31,-4.56,0.01,-0.23,-1.55,
3.15,-0.01,0.31,-4.56,0.01,-0.23,-1.55,
3.16,-0.01,0.31,-4.56,0.01,-0.23,-1.55,
3.17,-0.01,0.31,-4.56,0.01,-0.23,-1.55,
3.18,-0.01,0.30,-4.56,0.01,-0.23,-1.55,
3.19,-0.01,0.30,-4.56,0.01,-0.23,-1.55,
3.20,-0.01,0.30,-4.56,0.01,-0.23,-1.55,
3.21,-0.01,0.30,-4.56,0.01,-0.23,-1.56,
3.22,-0.01,0.30,-4.56,0.01,-0.23,-1.56,
3.23,-0.01,0.30,-4.56,0.01,-0.23,-1.56,
3.24,-0.01,0.30,-4.56,0.01,-0.23,-1.56,
3.25,-0.01,0.30,-4.56,0.01,-0.25,-1.56,
3.26,-0.01,0.30,-4.56,0.01,-0.29,-1.57,
3.27,-0.01,0.30,-4.56,0.01,-0.32,-1.57,
3.28,-0.01,0.30,-4.56,0.01,-0.32,-1.57,
3.29,-0.01,0.30,-4.56,0.01,-0.31,-1.57,
3.30,-0.01,0.30,-4.56,0.00,-0.30,-1.57,
3.31,-0.01,0.30,-4.56,0.00,-0.30,-1.58,
3.32,-0.01,0.30,-4.56,-0.01,-0.30,-1.58,
3.33,-0.01,0.30,-4.56,-0.01,-0.30,-1.58,
3.34,-0.01,0.31,-4.56,-0.01,-0.31,-1.59,
3.35,-0.01,0.31,-4.56,-0.01,-0.31,-1.59,
3.36,-0.01,0.31,-4.56,-0.01,-0.31,-1.59,
3.37,-0.01,0.31,-4.56,-0.01,-0.32,-1.60,
3.38,-0.01,0.31,-4.56,-0.01,-0.33,-1.60,
3.39,-0.01,0.31,-4.56,-0.01,-0.34,-1.60,
3.40,-0.01,0.31,-4.56,-0.01,-0.35,-1.60,
3.41,-0.01,0.31,-4.56,-0.01,-0.36,-1.60,
3.42,-0.01,0.31,-4.56,0.00,-0.36,-1.61,
3.43,-0.01,0.31,-4.56,0.02,-0.36,-1.61,
3.44,-0.01,0.31,-4.56,0.05,-0.36,-1.61,
3.45,-0.01,0.31,-4.56,0.07,-0.35,-1.61,
3.46,-0.01,0.31,-4.56,0.10,-0.34,-1.61,
3.47,-0.01,0.31,-4.56,0.16,-0.34,-1.61,
3.48,-0.01,0.31,-4.56,0.23,-0.35,-1.63,
3.49,-0.01,0.31,-4.56,0.28,-0.36,-1.66,
3.50,-0.01,0.31,-4.56,0.33,-0.39,-1.72,
3.51,-0.01,0.31,-4.56,0.37,-0.43,-1.79,
3.52,-0.01,0.31,-4.56,0.42,-0.46,-1.86,
3.53,-0.01,0.31,-4.56,0.49,-0.49,-1.93,
3.54,-0.01,0.31,-4.56,0.58,-0.52,-2.01,
3.55,-0.01,0.31,-4.56,0.66,-0.53,-2.10,
3.56,-0.01,0.31,-4.56,0.75,-0.54,-2.22,
3.57,-0.01,0.31,-4.56,0.82,-0.56,-2.39,
3.58,-0.01,0.31,-4.56,0.87,-0.58,-2.61,
3.59,-0.01,0.31,-4.56,0.90,-0.59,-2.87,
3.60,-0.01,0.31,-4.56,0.94,-0.59,-3.16,
3.61,-0.01,0.31,-4.56,0.98,-0.60,-3.47,
3.62,-0.01,0.31,-4.56,1.02,-0.61,-3.84,
3.63,-0.01,0.31,-4.56,1.03,-0.62,-4.24,
3.64,-0.01,0.31,-4.56,1.02,-0.63,-4.71,
3.65,-0.01,0.31,-4.56,0.99,-0.65,-5.24,
3.66,-0.01,0.31,-4.56,0.94,-0.66,-5.81,
3.67,-0.01,0.31,-4.56,0.89,-0.65,-6.45,
3.68,-0.01,0.31,-4.56,0.84,-0.65,-7.10,
3.69,-0.01,0.31,-4.56,0.79,-0.65,-7.79,
3.70,-0.01,0.31,-4.56,0.73,-0.66,-8.51,
3.71,-0.01,0.31,-4.56,0.66,-0.66,-9.28,
3.72,-0.01,0.31,-4.56,0.59,-0.65,-10.06,
3.73,-0.01,0.31,-4.56,0.52,-0.63,-10.87,
3.74,-0.01,0.31,-4.56,0.45,-0.63,-11.67,
3.75,-0.01,0.31,-4.56,0.37,-0.62,-12.50,
3.76,-0.01,0.31,-4.56,0.29,-0.60,-13.35,
3.77,-0.01,0.31,-4.56,0.22,-0.58,-14.18,
3.78,-0.01,0.31,-4.56,0.15,-0.56,-15.03,
3.79,-0.01,0.31,-4.56,0.10,-0.55,-15.85,
3.80,-0.01,0.31,-4.56,0.06,-0.55,-16.68,
3.81,-0.01,0.31,-4.56,0.03,-0.54,-17.48,
3.82,-0.01,0.31,-4.56,0.02,-0.53,-18.28,
3.83,-0.01,0.31,-4.56,0.01,-0.51,-19.05,
3.84,-0.01,0.31,-4.56,0.02,-0.50,-19.82,
3.85,-0.01,0.31,-4.56,0.03,-0.49,-20.57,
3.86,-0.01,0.31,-4.56,0.05,-0.48,-21.30,
3.87,-0.01,0.31,-4.56,0.07,-0.47,-22.02,
3.88,-0.01,0.31,-4.56,0.09,-0.47,-22.72,
3.89,-0.01,0.31,-4.56,0.09,-0.46,-23.43,
3.90,-0.01,0.31,-4.56,0.09,-0.46,-24.11,
3.91,-0.01,0.31,-4.56,0.09,-0.45,-24.78,
3.92,-0.01,0.31,-4.56,0.10,-0.45,-25.40,
3.93,-0.01,0.31,-4.56,0.14,-0.46,-26.00,
3.94,-0.01,0.31,-4.56,0.20,-0.47,-26.54,
3.95,-0.01,0.31,-4.56,0.27,-0.48,-27.03,
3.96,-0.01,0.31,-4.56,0.34,-0.48,-27.48,
3.97,-0.01,0.31,-4.56,0.43,-0.49,-27.86,
3.98,-0.01,0.31,-4.56,0.53,-0.50,-28.20,
3.99,-0.01,0.31,-4.56,0.63,-0.50,-28.49,
4.00,-0.01,0.32,-4.56,0.74,-0.50,-28.73,
4.01,-0.01,0.32,-4.56,0.84,-0.49,-28.93,
4.02,-0.01,0.32,-4.56,0.95,-0.48,-29.11,
4.03,-0.01,0.32,-4.56,1.05,-0.48,-29.26,
4.04,-0.01,0.32,-4.56,1.15,-0.48,-29.41,
4.05,-0.01,0.32,-4.56,1.25,-0.49,-29.55,
4.06,-0.01,0.32,-4.56,1.35,-0.50,-29.69,
4.07,-0.01,0.31,-4.56,1.43,-0.50,-29.83,
4.08,-0.01,0.31,-4.56,1.49,-0.48,-29.97,
4.09,-0.01,0.31,-4.56,1.54,-0.46,-30.12,
4.10,-0.01,0.31,-4.56,1.58,-0.45,-30.27,
4.11,-0.01,0.31,-4.56,1.62,-0.44,-30.42,
4.12,-0.01,0.31,-4.56,1.64,-0.43,-30.57,
4.13,0.00,0.31,-4.56,1.67,-0.43,-30.71,
4.14,0.00,0.31,-4.56,1.70,-0.44,-30.83,
4.15,0.00,0.31,-4.56,1.73,-0.45,-30.93,
4.16,-0.01,0.31,-4.56,1.74,-0.46,-31.02,
4.17,-0.01,0.31,-4.56,1.75,-0.48,-31.08,
4.18,-0.01,0.31,-4.56,1.75,-0.51,-31.12,
4.19,0.00,0.31,-4.56,1.75,-0.54,-31.13,
4.20,0.00,0.31,-4.56,1.75,-0.56,-31.11,
4.22,0.00,0.31,-4.56,1.75,-0.58,-31.05,
4.22,0.00,0.31,-4.56,1.76,-0.61,-30.95,
4.24,0.00,0.31,-4.56,1.77,-0.65,-30.82,
4.24,-0.01,0.31,-4.56,1.78,-0.69,-30.64,
4.26,-0.01,0.31,-4.56,1.80,-0.73,-30.43,
4.26,-0.01,0.31,-4.56,1.82,-0.76,-30.17,
4.28,-0.01,0.31,-4.56,1.84,-0.77,-29.87,
4.28,-0.01,0.31,-4.56,1.85,-0.77,-29.53,
4.30,-0.01,0.31,-4.56,1.86,-0.77,-29.17,
4.30,-0.01,0.31,-4.56,1.86,-0.76,-28.79,
4.32,-0.01,0.31,-4.56,1.87,-0.75,-28.39,
4.32,-0.01,0.31,-4.56,1.87,-0.74,-27.97,
4.34,-0.01,0.31,-4.56,1.88,-0.73,-27.51,
4.34,-0.01,0.31,-4.56,1.89,-0.72,-27.04,
4.36,-0.01,0.31,-4.56,1.93,-0.71,-26.53,
4.36,-0.01,0.30,-4.56,1.97,-0.71,-25.99,
4.38,-0.01,0.30,-4.55,2.03,-0.71,-25.40,
4.39,0.00,0.30,-4.55,2.11,-0.72,-24.78,
4.39,-0.01,0.30,-4.56,2.21,-0.72,-24.10,
4.41,-0.01,0.30,-4.56,2.32,-0.73,-23.38,
4.41,-0.01,0.30,-4.56,2.43,-0.73,-22.65,
4.43,0.00,0.30,-4.56,2.55,-0.74,-21.89,
4.43,0.00,0.30,-4.56,2.65,-0.74,-21.11,
4.45,0.00,0.30,-4.56,2.77,-0.75,-20.30,
4.45,0.00,0.30,-4.56,2.88,-0.76,-19.49,
4.47,0.00,0.30,-4.56,2.99,-0.77,-18.65,
4.47,0.00,0.30,-4.56,3.10,-0.77,-17.82,
4.49,0.00,0.30,-4.56,3.21,-0.77,-16.97,
4.49,0.00,0.30,-4.56,3.32,-0.76,-16.14,
4.51,0.00,0.30,-4.56,3.42,-0.76,-15.30,
4.51,0.00,0.30,-4.56,3.52,-0.75,-14.47,
4.53,0.00,0.30,-4.56,3.61,-0.75,-13.67,
4.53,0.00,0.30,-4.56,3.69,-0.74,-12.87,
4.55,0.00,0.30,-4.56,3.76,-0.74,-12.12,
4.55,0.00,0.30,-4.56,3.83,-0.73,-11.37,
4.57,0.00,0.30,-4.56,3.89,-0.73,-10.67,
4.57,0.00,0.30,-4.56,3.94,-0.72,-9.98,
4.59,0.00,0.30,-4.56,3.99,-0.72,-9.33,
4.59,0.00,0.30,-4.56,4.05,-0.71,-8.68,
4.61,0.00,0.30,-4.56,4.10,-0.71,-8.06,
4.61,0.00,0.30,-4.56,4.14,-0.70,-7.45,
4.62,0.00,0.30,-4.56,4.19,-0.70,-6.86,
4.64,0.00,0.30,-4.55,4.23,-0.70,-6.30,
4.65,0.00,0.30,-4.55,4.29,-0.70,-5.73,
4.66,0.00,0.30,-4.55,4.34,-0.70,-5.19,
4.67,0.00,0.30,-4.55,4.40,-0.70,-4.64,
4.68,0.00,0.30,-4.55,4.47,-0.71,-4.10,
4.69,0.00,0.30,-4.55,4.56,-0.71,-3.54,
4.70,0.00,0.30,-4.55,4.68,-0.70,-2.98,
4.71,0.00,0.30,-4.55,4.83,-0.68,-2.40,
4.72,0.00,0.30,-4.55,4.96,-0.51,-1.92,
4.73,0.00,0.30,-4.55,5.00,-0.25,-1.71,
4.74,0.00,0.30,-4.55,4.91,-0.13,-1.71,
4.75,0.00,0.30,-4.55,4.80,-0.13,-1.72,
4.76,0.00,0.30,-4.55,4.73,-0.14,-1.72,
4.77,0.00,0.29,-4.55,4.72,-0.16,-1.72,
4.78,0.00,0.29,-4.55,4.72,-0.18,-1.73,
4.79,0.00,0.30,-4.55,4.72,-0.18,-1.73,
4.80,0.00,0.29,-4.55,4.70,-0.17,-1.73,
4.81,0.00,0.29,-4.55,4.68,-0.14,-1.72,
4.82,0.00,0.29,-4.55,4.64,-0.09,-1.71,
4.83,0.00,0.29,-4.55,4.60,-0.04,-1.70,
4.84,0.00,0.29,-4.55,4.53,0.00,-1.65,
4.85,0.00,0.29,-4.55,4.41,0.05,-1.55,
4.86,0.00,0.29,-4.55,4.24,0.11,-1.46,
4.87,0.00,0.29,-4.55,3.98,0.15,-1.38,
4.88,0.00,0.29,-4.55,3.67,0.22,-1.26,
4.89,0.00,0.29,-4.55,3.34,0.35,-1.01,
4.90,0.00,0.29,-4.55,3.03,0.41,-0.61,
4.91,0.00,0.29,-4.55,2.73,0.38,-0.02,
4.92,0.00,0.29,-4.55,2.43,0.34,0.74,
4.93,0.00,0.29,-4.55,2.09,0.30,1.69,
4.94,0.00,0.29,-4.55,1.76,0.26,2.76,
4.95,0.00,0.29,-4.55,1.47,0.24,3.85,
4.96,0.00,0.29,-4.55,1.24,0.22,4.95,
4.97,0.00,0.29,-4.55,1.07,0.20,5.98,
4.98,0.00,0.29,-4.55,0.95,0.19,6.95,
4.99,0.00,0.29,-4.55,0.87,0.19,7.85,
5.00,0.00,0.29,-4.55,0.81,0.20,8.73,
5.01,0.00,0.29,-4.55,0.79,0.20,9.57,
5.02,0.00,0.29,-4.55,0.79,0.20,10.42,
5.03,0.00,0.29,-4.55,0.81,0.19,11.23,
5.04,0.00,0.29,-4.55,0.85,0.18,12.03,
5.05,0.00,0.29,-4.55,0.90,0.17,12.78,
5.06,0.00,0.29,-4.55,0.96,0.16,13.46,
5.07,0.00,0.29,-4.55,1.02,0.14,14.11,
5.08,0.00,0.29,-4.55,1.09,0.12,14.71,
5.09,0.00,0.29,-4.55,1.16,0.10,15.33,
5.10,0.00,0.29,-4.55,1.24,0.08,15.93,
5.11,0.00,0.29,-4.55,1.32,0.06,16.54,
5.12,0.00,0.29,-4.55,1.41,0.05,17.11,
5.13,0.00,0.29,-4.55,1.51,0.03,17.67,
5.14,0.00,0.29,-4.55,1.61,0.03,18.20,
5.15,0.00,0.29,-4.55,1.72,0.02,18.70,
5.16,0.00,0.29,-4.55,1.85,0.01,19.17,
5.17,0.00,0.29,-4.55,1.97,0.01,19.62,
5.18,0.00,0.29,-4.55,2.09,0.01,20.05,
5.19,0.00,0.29,-4.55,2.21,0.01,20.46,
5.20,0.00,0.29,-4.55,2.32,0.00,20.88,
5.21,0.00,0.29,-4.55,2.44,0.00,21.27,
5.22,0.00,0.29,-4.55,2.56,0.00,21.65,
5.23,0.00,0.29,-4.55,2.67,0.00,22.02,
5.24,0.00,0.29,-4.55,2.79,0.00,22.37,
5.25,0.00,0.29,-4.55,2.89,-0.01,22.69,
5.26,0.00,0.29,-4.55,2.98,-0.01,22.99,
5.27,0.00,0.29,-4.55,3.06,-0.02,23.25,
5.28,0.00,0.29,-4.55,3.13,-0.02,23.49,
5.29,0.00,0.29,-4.55,3.21,-0.02,23.72,
5.30,0.00,0.29,-4.55,3.29,-0.03,23.92,
5.31,0.00,0.29,-4.55,3.38,-0.03,24.11,
5.32,0.00,0.29,-4.55,3.46,-0.04,24.27,
5.33,0.00,0.29,-4.55,3.53,-0.04,24.42,
5.34,0.00,0.29,-4.55,3.60,-0.05,24.54,
5.35,0.00,0.29,-4.55,3.66,-0.06,24.64,
5.36,-0.01,0.29,-4.55,3.71,-0.07,24.71,
5.37,-0.01,0.29,-4.55,3.76,-0.08,24.74,
5.38,-0.01,0.29,-4.55,3.79,-0.08,24.75,
5.39,-0.01,0.29,-4.56,3.81,-0.08,24.72,
5.40,-0.01,0.29,-4.56,3.82,-0.08,24.68,
5.41,-0.01,0.29,-4.56,3.83,-0.09,24.61,
5.42,0.00,0.29,-4.56,3.83,-0.09,24.52,
5.43,0.00,0.29,-4.56,3.83,-0.09,24.42,
5.44,0.00,0.29,-4.56,3.83,-0.09,24.30,
5.45,0.00,0.29,-4.56,3.82,-0.09,24.17,
5.46,0.00,0.29,-4.56,3.82,-0.09,24.02,
5.47,-0.01,0.29,-4.56,3.82,-0.08,23.86,
5.48,-0.01,0.29,-4.56,3.82,-0.07,23.68,
5.49,-0.01,0.29,-4.56,3.82,-0.07,23.48,
5.50,-0.01,0.29,-4.57,3.82,-0.06,23.27,
5.51,-0.01,0.29,-4.57,3.82,-0.05,23.03,
5.52,-0.01,0.29,-4.57,3.81,-0.05,22.77,
5.53,-0.01,0.28,-4.57,3.81,-0.04,22.49,
5.54,-0.01,0.28,-4.57,3.81,-0.04,22.19,
5.55,-0.01,0.29,-4.57,3.80,-0.04,21.86,
5.56,-0.01,0.28,-4.57,3.80,-0.04,21.50,
5.57,0.00,0.28,-4.57,3.78,-0.04,21.11,
5.58,0.00,0.28,-4.57,3.76,-0.05,20.71,
5.59,0.00,0.28,-4.57,3.72,-0.05,20.28,
5.60,0.00,0.29,-4.57,3.65,-0.06,19.83,
5.61,0.00,0.28,-4.57,3.57,-0.07,19.38,
5.62,0.00,0.28,-4.57,3.49,-0.08,18.90,
5.63,0.00,0.28,-4.57,3.39,-0.09,18.42,
5.64,0.00,0.29,-4.57,3.27,-0.10,17.91,
5.65,0.00,0.29,-4.57,3.14,-0.11,17.40,
5.66,0.00,0.29,-4.57,3.00,-0.12,16.84,
5.67,0.00,0.29,-4.57,2.88,-0.13,16.26,
5.68,0.00,0.29,-4.57,2.78,-0.14,15.61,
5.69,0.00,0.29,-4.57,2.71,-0.15,14.93,
5.70,0.00,0.29,-4.57,2.67,-0.17,14.24,
5.71,0.00,0.29,-4.57,2.65,-0.18,13.52,
5.72,0.00,0.29,-4.57,2.64,-0.19,12.82,
5.73,0.00,0.29,-4.57,2.63,-0.20,12.11,
5.74,0.00,0.29,-4.57,2.63,-0.21,11.41,
