Time,IMU_SHIN_L_YAW,IMU_SHIN_L_PITCH,IMU_SHIN_L_ROLL,IMU_SHIN_R_YAW,IMU_SHIN_R_PITCH,IMU_SHIN_R_ROLL,FSR_HEEL_L_RAW,FSR_HEEL_R_RAW,
10.82,0.00,0.05,-4.78,0.00,-0.07,-1.18,1014.00,1011.00,
10.83,0.00,0.05,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
10.84,0.00,0.05,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
10.85,0.00,0.05,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
10.86,0.00,0.05,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
10.87,0.00,0.05,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
10.88,0.00,0.05,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
10.89,0.00,0.05,-4.78,0.00,-0.07,-1.18,1014.00,1011.00,
10.90,0.00,0.05,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
10.91,0.00,0.05,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
10.92,0.00,0.05,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
10.93,0.00,0.05,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
10.94,0.00,0.05,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
10.95,0.00,0.06,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
10.96,0.00,0.06,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
10.97,0.00,0.06,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
10.98,0.00,0.06,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
10.99,0.00,0.06,-4.78,0.00,-0.07,-1.18,1014.00,1011.00,
11.00,0.00,0.06,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
11.01,0.00,0.06,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
11.02,0.00,0.06,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
11.03,0.00,0.06,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
11.04,0.00,0.06,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
11.05,0.00,0.06,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
11.06,0.00,0.06,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
11.07,0.00,0.06,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
11.08,0.00,0.06,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
11.09,0.00,0.05,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
11.10,0.00,0.05,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
11.11,0.00,0.05,-4.78,0.00,-0.07,-1.18,1014.00,1011.00,
11.12,0.00,0.05,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
11.13,0.00,0.05,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
11.14,0.00,0.05,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
11.15,0.00,0.05,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
11.16,0.00,0.05,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
11.17,0.00,0.05,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
11.18,0.00,0.05,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
11.19,0.00,0.05,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
11.20,0.00,0.05,-4.78,0.00,-0.07,-1.18,1014.00,1011.00,
11.21,0.00,0.05,-4.77,0.00,-0.07,-1.18,1014.00,1012.00,
11.22,0.00,0.05,-4.77,0.00,-0.07,-1.18,1014.00,1012.00,
11.23,0.00,0.05,-4.77,0.00,-0.07,-1.18,1014.00,1012.00,
11.24,0.00,0.05,-4.77,0.00,-0.07,-1.18,1014.00,1012.00,
11.25,0.00,0.05,-4.77,0.00,-0.07,-1.18,1014.00,1012.00,
11.26,0.00,0.05,-4.77,0.00,-0.07,-1.18,1014.00,1012.00,
11.27,0.00,0.05,-4.77,0.00,-0.07,-1.18,1014.00,1012.00,
11.28,0.00,0.05,-4.77,0.00,-0.07,-1.18,1014.00,1012.00,
11.29,0.00,0.05,-4.77,0.00,-0.07,-1.18,1013.00,1011.00,
11.30,0.00,0.05,-4.77,0.00,-0.07,-1.17,1014.00,1012.00,
11.31,0.00,0.05,-4.78,0.00,-0.07,-1.17,1014.00,1012.00,
11.32,0.00,0.06,-4.78,0.00,-0.07,-1.17,1014.00,1012.00,
11.33,0.00,0.06,-4.78,0.00,-0.07,-1.17,1014.00,1011.00,
11.34,0.00,0.06,-4.78,0.00,-0.07,-1.17,1014.00,1011.00,
11.35,0.00,0.06,-4.78,0.00,-0.07,-1.17,1014.00,1011.00,
11.36,0.00,0.06,-4.78,0.00,-0.07,-1.17,1014.00,1012.00,
11.38,0.00,0.06,-4.78,0.00,-0.07,-1.17,1014.00,1012.00,
11.39,0.00,0.06,-4.78,0.00,-0.07,-1.17,1014.00,1012.00,
11.39,0.00,0.06,-4.78,0.00,-0.07,-1.17,1014.00,1012.00,
11.40,0.00,0.06,-4.78,0.00,-0.07,-1.17,1014.00,1012.00,
11.41,0.00,0.06,-4.78,0.00,-0.07,-1.17,1014.00,1012.00,
11.42,0.00,0.06,-4.78,0.00,-0.07,-1.17,1014.00,1012.00,
11.43,0.00,0.06,-4.78,0.00,-0.07,-1.17,1014.00,1012.00,
11.44,0.00,0.06,-4.78,0.00,-0.07,-1.17,1014.00,1012.00,
11.45,0.00,0.06,-4.78,0.00,-0.07,-1.17,1014.00,1012.00,
11.47,0.00,0.06,-4.78,0.00,-0.07,-1.17,1014.00,1012.00,
11.48,0.00,0.06,-4.78,0.00,-0.07,-1.17,1014.00,1012.00,
11.48,0.00,0.06,-4.78,0.00,-0.07,-1.17,1014.00,1012.00,
11.49,0.00,0.06,-4.78,0.00,-0.07,-1.17,1014.00,1012.00,
11.50,0.00,0.06,-4.78,0.00,-0.07,-1.17,1014.00,1012.00,
11.52,0.00,0.06,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
11.52,0.00,0.06,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
11.53,0.00,0.06,-4.78,0.00,-0.08,-1.18,1014.00,1011.00,
11.55,0.00,0.06,-4.78,0.00,-0.08,-1.18,1014.00,1012.00,
11.56,0.00,0.06,-4.78,0.00,-0.08,-1.18,1014.00,1012.00,
11.56,0.00,0.06,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
11.57,0.00,0.07,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
11.59,0.00,0.07,-4.78,0.00,-0.08,-1.18,1014.00,1012.00,
11.60,0.00,0.07,-4.78,0.00,-0.07,-1.18,1014.00,1011.00,
11.60,0.00,0.07,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
11.61,0.00,0.07,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
11.62,0.00,0.07,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
11.64,0.00,0.07,-4.78,0.00,-0.08,-1.18,1014.00,1012.00,
11.65,0.00,0.06,-4.78,0.00,-0.08,-1.18,1014.00,1012.00,
11.65,0.00,0.06,-4.78,0.00,-0.07,-1.18,1014.00,1011.00,
11.66,0.00,0.06,-4.78,0.00,-0.07,-1.18,1014.00,1011.00,
11.68,0.00,0.06,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
11.69,0.00,0.06,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
11.69,0.00,0.06,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
11.70,0.00,0.06,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
11.72,0.00,0.06,-4.78,0.00,-0.07,-1.17,1013.00,1012.00,
11.73,0.00,0.06,-4.78,0.00,-0.07,-1.17,1014.00,1011.00,
11.73,0.00,0.06,-4.78,0.00,-0.07,-1.17,1014.00,1012.00,
11.74,0.00,0.06,-4.78,0.00,-0.07,-1.17,1014.00,1012.00,
11.76,0.00,0.06,-4.78,0.00,-0.07,-1.17,1013.00,1012.00,
11.77,0.00,0.06,-4.78,0.00,-0.07,-1.17,1013.00,1012.00,
11.77,0.00,0.06,-4.78,0.00,-0.07,-1.17,1013.00,1012.00,
11.78,0.00,0.06,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
11.80,0.00,0.06,-4.78,0.00,-0.07,-1.18,1014.00,1012.00,
11.81,0.00,0.06,-4.78,0.00,-0.07,-1.17,1014.00,1012.00,
11.81,0.00,0.06,-4.78,0.00,-0.07,-1.17,1014.00,1012.00,
11.82,0.00,0.06,-4.78,0.00,-0.07,-1.17,1014.00,1012.00,
11.84,0.00,0.06,-4.78,0.00,-0.07,-1.17,1014.00,1012.00,
11.85,0.00,0.06,-4.78,0.00,-0.07,-1.17,1014.00,1011.00,
11.85,0.00,0.06,-4.78,0.00,-0.07,-1.17,1014.00,1012.00,
11.87,0.00,0.06,-4.78,0.00,-0.07,-1.17,1014.00,1012.00,
11.88,0.00,0.06,-4.78,0.00,-0.07,-1.17,1014.00,1012.00,
11.89,0.00,0.06,-4.78,0.00,-0.07,-1.17,1014.00,1012.00,
11.90,0.00,0.06,-4.78,0.00,-0.07,-1.17,1014.00,1012.00,
11.90,0.00,0.06,-4.78,0.00,-0.07,-1.17,1014.00,1012.00,
11.91,0.00,0.06,-4.78,0.00,-0.07,-1.17,1014.00,1012.00,
11.93,0.00,0.06,-4.78,0.00,-0.07,-1.17,1014.00,1012.00,
11.94,0.00,0.06,-4.78,0.00,-0.07,-1.17,1014.00,1012.00,
11.95,0.00,0.06,-4.78,0.00,-0.08,-1.17,1014.00,1012.00,
11.96,0.00,0.06,-4.78,0.00,-0.08,-1.17,1014.00,1012.00,
11.97,0.00,0.06,-4.78,0.00,-0.08,-1.17,1014.00,1012.00,
11.98,0.00,0.06,-4.78,0.00,-0.08,-1.17,1014.00,1012.00,
11.99,0.00,0.06,-4.78,0.00,-0.08,-1.17,1014.00,1012.00,
12.00,0.00,0.06,-4.78,0.00,-0.08,-1.17,1014.00,1011.00,
12.01,0.00,0.06,-4.78,0.00,-0.08,-1.17,1014.00,1012.00,
12.02,0.00,0.06,-4.78,0.00,-0.08,-1.17,1014.00,1012.00,
12.03,0.00,0.06,-4.78,0.00,-0.08,-1.17,1014.00,1012.00,
12.04,0.00,0.06,-4.78,0.00,-0.08,-1.17,1014.00,1012.00,
12.05,0.00,0.06,-4.78,0.00,-0.08,-1.17,1014.00,1012.00,
12.06,0.00,0.06,-4.78,0.00,-0.07,-1.17,1014.00,1012.00,
12.07,0.00,0.06,-4.78,0.00,-0.07,-1.17,1014.00,1012.00,
12.08,0.00,0.06,-4.78,0.00,-0.07,-1.17,1014.00,1012.00,
12.09,0.00,0.06,-4.78,0.00,-0.07,-1.17,1014.00,1012.00,
12.10,0.00,0.06,-4.78,0.00,-0.07,-1.17,1014.00,1012.00,
12.11,0.00,0.06,-4.78,0.00,-0.07,-1.17,1014.00,1012.00,
12.12,0.00,0.06,-4.78,0.00,-0.07,-1.17,1014.00,1012.00,
12.13,0.00,0.06,-4.78,0.00,-0.06,-1.17,1014.00,1012.00,
12.14,0.00,0.06,-4.78,0.00,-0.06,-1.17,1014.00,1012.00,
12.15,0.00,0.06,-4.78,0.00,-0.06,-1.17,1014.00,1012.00,
12.16,0.00,0.06,-4.78,0.00,-0.06,-1.17,1014.00,1012.00,
12.17,0.00,0.06,-4.78,0.00,-0.06,-1.17,1014.00,1012.00,
12.18,0.00,0.06,-4.78,0.00,-0.06,-1.17,1013.00,1012.00,
12.19,0.00,0.06,-4.78,0.00,-0.06,-1.17,1014.00,1012.00,
12.20,0.00,0.06,-4.78,0.00,-0.06,-1.17,1014.00,1012.00,
12.21,0.00,0.06,-4.79,-0.01,-0.06,-1.17,1013.00,1012.00,
12.22,0.00,0.06,-4.79,-0.01,-0.06,-1.17,1014.00,1012.00,
12.23,0.00,0.06,-4.79,-0.01,-0.06,-1.17,1014.00,1012.00,
12.24,0.00,0.06,-4.79,-0.01,-0.06,-1.17,1014.00,1012.00,
12.25,0.00,0.06,-4.79,0.00,-0.06,-1.17,1014.00,1012.00,
12.26,0.00,0.06,-4.79,0.00,-0.06,-1.17,1014.00,1012.00,
12.27,0.00,0.06,-4.79,0.00,-0.06,-1.17,1013.00,1013.00,
12.28,0.00,0.06,-4.79,0.00,-0.06,-1.17,1014.00,1012.00,
12.29,0.00,0.06,-4.79,0.00,-0.06,-1.17,1013.00,1012.00,
12.30,0.00,0.06,-4.79,0.00,-0.06,-1.17,1014.00,1012.00,
12.31,0.00,0.06,-4.79,0.00,-0.06,-1.17,1014.00,1011.00,
12.32,0.00,0.06,-4.79,0.00,-0.06,-1.17,1014.00,1012.00,
12.33,0.00,0.06,-4.79,0.00,-0.06,-1.17,1014.00,1012.00,
12.34,0.00,0.06,-4.79,0.00,-0.05,-1.17,1014.00,1011.00,
12.35,0.00,0.06,-4.79,0.00,-0.05,-1.17,1014.00,1012.00,
12.36,0.00,0.06,-4.79,0.00,-0.05,-1.17,1014.00,1012.00,
12.37,0.00,0.06,-4.79,0.00,-0.05,-1.17,1014.00,1012.00,
12.38,0.00,0.06,-4.79,0.00,-0.05,-1.17,1014.00,1012.00,
12.39,0.00,0.06,-4.79,0.00,-0.05,-1.17,1014.00,1012.00,
12.40,0.00,0.06,-4.79,0.00,-0.06,-1.17,1014.00,1012.00,
12.41,0.00,0.06,-4.79,0.00,-0.06,-1.17,1014.00,1012.00,
12.42,0.00,0.06,-4.79,0.00,-0.06,-1.17,1014.00,1012.00,
12.43,0.00,0.06,-4.78,0.00,-0.06,-1.17,1014.00,1012.00,
12.44,0.00,0.06,-4.78,0.00,-0.06,-1.17,1014.00,1012.00,
12.45,0.00,0.06,-4.78,0.00,-0.06,-1.17,1014.00,1012.00,
12.46,0.00,0.06,-4.78,0.00,-0.06,-1.17,1014.00,1012.00,
12.47,0.00,0.06,-4.78,0.00,-0.06,-1.17,1014.00,1012.00,
12.48,0.00,0.05,-4.78,0.00,-0.06,-1.17,1014.00,1012.00,
12.49,0.00,0.05,-4.78,0.00,-0.06,-1.17,1014.00,1012.00,
12.50,0.00,0.05,-4.78,0.00,-0.07,-1.17,1014.00,1012.00,
12.51,0.00,0.05,-4.78,0.00,-0.07,-1.17,1014.00,1012.00,
12.52,0.00,0.05,-4.78,-0.01,-0.06,-1.17,1014.00,1012.00,
12.53,0.00,0.05,-4.78,-0.01,-0.07,-1.17,1014.00,1012.00,
12.54,0.00,0.05,-4.78,-0.01,-0.07,-1.17,1014.00,1012.00,
12.55,0.00,0.05,-4.78,-0.01,-0.07,-1.17,1014.00,1012.00,
12.56,0.00,0.05,-4.78,-0.01,-0.07,-1.17,1014.00,1012.00,
12.57,0.00,0.05,-4.78,-0.01,-0.07,-1.17,1013.00,1012.00,
12.58,0.00,0.05,-4.78,-0.01,-0.07,-1.17,1014.00,1012.00,
12.59,0.00,0.05,-4.78,-0.01,-0.07,-1.17,1014.00,1012.00,
12.60,0.00,0.05,-4.78,-0.01,-0.07,-1.17,1014.00,1011.00,
12.61,0.00,0.05,-4.78,-0.01,-0.07,-1.17,1013.00,1012.00,
12.62,0.00,0.05,-4.78,-0.01,-0.07,-1.17,1013.00,1012.00,
12.63,0.00,0.05,-4.78,-0.01,-0.07,-1.17,1014.00,1012.00,
12.64,0.00,0.06,-4.77,-0.01,-0.07,-1.17,1014.00,1012.00,
12.65,0.00,0.06,-4.77,-0.01,-0.07,-1.17,1014.00,1012.00,
12.66,0.00,0.06,-4.77,-0.01,-0.07,-1.17,1014.00,1012.00,
12.67,0.00,0.06,-4.77,-0.01,-0.07,-1.17,1014.00,1012.00,
12.68,0.00,0.06,-4.77,-0.01,-0.07,-1.17,1013.00,1011.00,
12.69,0.00,0.06,-4.77,-0.01,-0.07,-1.17,1014.00,1011.00,
12.70,0.00,0.06,-4.77,-0.01,-0.07,-1.17,1013.00,1012.00,
12.71,0.00,0.06,-4.77,-0.01,-0.07,-1.17,1013.00,1012.00,
12.72,0.00,0.06,-4.77,-0.01,-0.07,-1.17,1014.00,1012.00,
12.73,0.00,0.06,-4.77,-0.01,-0.07,-1.17,1013.00,1012.00,
12.74,0.00,0.06,-4.77,-0.01,-0.07,-1.17,1014.00,1012.00,
12.75,0.00,0.06,-4.77,-0.01,-0.07,-1.17,1014.00,1012.00,
12.76,0.00,0.06,-4.77,-0.01,-0.07,-1.17,1013.00,1012.00,
12.77,0.00,0.06,-4.77,-0.01,-0.07,-1.17,1013.00,1012.00,
12.78,0.00,0.06,-4.77,0.00,-0.07,-1.17,1014.00,1012.00,
12.79,0.00,0.06,-4.77,0.00,-0.07,-1.17,1014.00,1011.00,
12.80,0.00,0.06,-4.77,0.00,-0.07,-1.17,1014.00,1012.00,
12.81,0.00,0.06,-4.77,0.00,-0.07,-1.18,1014.00,1011.00,
12.82,0.00,0.06,-4.77,0.00,-0.07,-1.18,1014.00,1012.00,
12.83,0.00,0.06,-4.77,0.00,-0.07,-1.18,1013.00,1011.00,
12.84,0.00,0.06,-4.77,0.00,-0.07,-1.18,1013.00,1011.00,
12.85,0.00,0.06,-4.77,0.00,-0.07,-1.18,1014.00,1011.00,
12.86,0.00,0.06,-4.77,0.00,-0.07,-1.18,1014.00,1012.00,
12.87,0.00,0.06,-4.77,0.00,-0.07,-1.18,1013.00,1012.00,
12.88,0.00,0.06,-4.77,0.00,-0.07,-1.18,1014.00,1012.00,
12.89,0.00,0.07,-4.77,0.00,-0.07,-1.18,1013.00,1011.00,
12.90,0.00,0.07,-4.77,0.00,-0.07,-1.18,1014.00,1012.00,
12.91,0.00,0.07,-4.77,0.00,-0.07,-1.18,1013.00,1012.00,
12.92,0.00,0.07,-4.77,0.00,-0.07,-1.18,1013.00,1012.00,
12.93,0.00,0.07,-4.77,0.00,-0.07,-1.18,1014.00,1012.00,
12.94,0.00,0.07,-4.77,0.00,-0.07,-1.18,1015.00,1012.00,
12.95,0.00,0.07,-4.77,0.00,-0.07,-1.18,1014.00,1012.00,
12.96,0.00,0.07,-4.77,0.00,-0.07,-1.18,1013.00,1012.00,
12.97,0.00,0.07,-4.77,0.00,-0.07,-1.18,1014.00,1011.00,
12.98,0.00,0.07,-4.77,0.00,-0.07,-1.18,1013.00,1012.00,
12.99,0.00,0.07,-4.77,0.00,-0.07,-1.18,1014.00,1011.00,
13.00,0.00,0.06,-4.77,0.00,-0.07,-1.18,1014.00,1012.00,
13.01,0.00,0.06,-4.77,0.00,-0.08,-1.18,1014.00,1012.00,
13.02,0.00,0.06,-4.77,0.00,-0.08,-1.18,1013.00,1012.00,
13.03,0.00,0.06,-4.77,0.00,-0.08,-1.18,1015.00,1013.00,
13.04,0.00,0.06,-4.77,0.00,-0.08,-1.18,1013.00,1012.00,
13.05,0.00,0.06,-4.77,0.00,-0.08,-1.18,1014.00,1012.00,
13.06,0.00,0.06,-4.77,0.00,-0.08,-1.18,1013.00,1012.00,
13.07,0.00,0.06,-4.77,0.00,-0.08,-1.18,1014.00,1011.00,
13.08,0.00,0.06,-4.77,0.00,-0.08,-1.18,1012.00,1012.00,
13.09,0.00,0.06,-4.77,0.00,-0.08,-1.18,1014.00,1011.00,
13.10,0.00,0.06,-4.77,0.00,-0.08,-1.18,1014.00,1012.00,
13.11,0.00,0.06,-4.77,0.00,-0.08,-1.18,1014.00,1011.00,
13.12,0.00,0.07,-4.77,0.00,-0.08,-1.18,1014.00,1012.00,
13.13,0.00,0.07,-4.77,0.00,-0.08,-1.18,1013.00,1012.00,
13.14,0.00,0.07,-4.77,0.00,-0.08,-1.18,1013.00,1012.00,
13.15,0.00,0.07,-4.77,0.00,-0.08,-1.18,1015.00,1012.00,
13.16,0.00,0.07,-4.77,0.00,-0.08,-1.18,1013.00,1012.00,
13.17,0.00,0.07,-4.76,0.00,-0.08,-1.18,1014.00,1012.00,
13.18,0.00,0.07,-4.76,0.00,-0.08,-1.18,1014.00,1012.00,
13.19,0.00,0.07,-4.76,0.00,-0.08,-1.18,1014.00,1012.00,
13.20,0.00,0.07,-4.76,0.00,-0.08,-1.18,1012.00,1011.00,
13.21,0.00,0.07,-4.76,0.00,-0.08,-1.18,1014.00,1012.00,
13.22,0.00,0.07,-4.76,0.00,-0.08,-1.18,1014.00,1012.00,
13.23,0.00,0.07,-4.76,0.00,-0.08,-1.18,1013.00,1011.00,
13.24,0.00,0.07,-4.76,0.00,-0.08,-1.18,1015.00,1011.00,
13.25,0.00,0.07,-4.76,0.00,-0.08,-1.18,1014.00,1010.00,
13.26,0.00,0.07,-4.76,0.00,-0.08,-1.18,1014.00,1011.00,
13.27,0.00,0.07,-4.76,0.00,-0.08,-1.18,1014.00,1012.00,
13.28,0.00,0.07,-4.76,0.00,-0.08,-1.18,1014.00,1012.00,
13.29,0.00,0.07,-4.76,0.00,-0.08,-1.18,1014.00,1012.00,
13.30,0.00,0.07,-4.76,0.00,-0.08,-1.18,1014.00,1012.00,
13.31,0.00,0.07,-4.76,0.00,-0.08,-1.18,1014.00,1012.00,
13.32,0.00,0.07,-4.76,0.00,-0.07,-1.18,1014.00,1012.00,
13.33,0.00,0.07,-4.76,0.00,-0.07,-1.18,1014.00,1012.00,
13.34,0.00,0.07,-4.77,0.00,-0.07,-1.18,1015.00,1012.00,
13.35,0.00,0.07,-4.77,0.00,-0.07,-1.18,1014.00,1012.00,
13.36,0.00,0.07,-4.77,0.00,-0.07,-1.18,1014.00,1012.00,
13.37,0.00,0.07,-4.77,0.00,-0.07,-1.18,1014.00,1011.00,
13.38,0.00,0.07,-4.77,0.00,-0.07,-1.18,1014.00,1010.00,
13.39,0.00,0.07,-4.77,0.00,-0.07,-1.18,1013.00,1012.00,
13.40,0.00,0.07,-4.76,0.00,-0.07,-1.18,1014.00,1011.00,
13.41,0.00,0.07,-4.76,0.00,-0.07,-1.18,1014.00,1011.00,
13.42,0.00,0.07,-4.76,0.00,-0.07,-1.18,1014.00,1012.00,
13.43,0.00,0.07,-4.76,0.00,-0.07,-1.18,1014.00,1012.00,
13.44,0.00,0.07,-4.76,0.00,-0.07,-1.18,1014.00,1012.00,
13.45,0.00,0.07,-4.76,0.00,-0.07,-1.18,1013.00,1011.00,
13.46,0.00,0.07,-4.76,0.00,-0.07,-1.18,1014.00,1012.00,
13.47,0.00,0.07,-4.76,0.00,-0.07,-1.18,1014.00,1012.00,
13.48,0.00,0.07,-4.76,0.00,-0.07,-1.18,1014.00,1012.00,
13.49,0.00,0.07,-4.76,0.00,-0.07,-1.18,1013.00,1012.00,
13.50,0.00,0.07,-4.76,0.00,-0.07,-1.18,1014.00,1012.00,
13.51,0.00,0.07,-4.76,0.00,-0.07,-1.18,1014.00,1012.00,
13.52,0.00,0.07,-4.76,0.00,-0.08,-1.18,1014.00,1011.00,
13.53,0.00,0.07,-4.76,0.00,-0.08,-1.18,1014.00,1011.00,
13.54,0.00,0.07,-4.76,0.00,-0.08,-1.18,1014.00,1012.00,
13.55,0.00,0.07,-4.76,0.00,-0.08,-1.18,1014.00,1012.00,
13.56,0.00,0.07,-4.76,0.00,-0.08,-1.18,1014.00,1012.00,
13.57,0.00,0.07,-4.76,0.00,-0.08,-1.18,1013.00,1012.00,
13.58,0.00,0.07,-4.76,0.00,-0.07,-1.18,1014.00,1011.00,
13.59,0.00,0.07,-4.76,0.00,-0.07,-1.18,1013.00,1012.00,
13.60,0.00,0.07,-4.76,0.00,-0.07,-1.18,1014.00,1011.00,
13.61,0.00,0.07,-4.76,0.00,-0.07,-1.18,1014.00,1012.00,
13.62,0.00,0.08,-4.76,0.00,-0.07,-1.18,1014.00,1012.00,
13.63,0.00,0.08,-4.76,0.00,-0.07,-1.18,1014.00,1012.00,
13.64,0.00,0.08,-4.76,0.00,-0.07,-1.18,1013.00,1012.00,
13.65,0.00,0.08,-4.76,0.00,-0.07,-1.18,1014.00,1012.00,
13.66,0.00,0.08,-4.76,0.00,-0.07,-1.18,1014.00,1012.00,
13.67,0.00,0.08,-4.76,0.00,-0.07,-1.18,1014.00,1012.00,
13.68,0.00,0.08,-4.76,0.00,-0.07,-1.18,1014.00,1012.00,
13.69,0.00,0.08,-4.77,0.00,-0.07,-1.18,1014.00,1012.00,
13.70,0.00,0.08,-4.77,0.00,-0.07,-1.18,1014.00,1012.00,
13.71,0.00,0.08,-4.77,0.00,-0.07,-1.18,1014.00,1012.00,
13.72,0.00,0.08,-4.77,0.00,-0.07,-1.18,1014.00,1012.00,
13.73,0.00,0.08,-4.77,0.00,-0.07,-1.18,1013.00,1011.00,
13.74,0.00,0.08,-4.77,0.00,-0.08,-1.18,1014.00,1012.00,
13.75,0.00,0.08,-4.77,0.00,-0.08,-1.18,1013.00,1012.00,
13.76,0.00,0.08,-4.77,0.00,-0.08,-1.18,1013.00,1012.00,
13.77,0.00,0.08,-4.77,0.00,-0.08,-1.18,1013.00,1012.00,
13.78,0.00,0.08,-4.77,0.00,-0.08,-1.18,1014.00,1012.00,
13.79,0.00,0.08,-4.77,0.00,-0.08,-1.18,1013.00,1012.00,
13.80,0.00,0.08,-4.77,0.00,-0.07,-1.18,1014.00,1011.00,
13.81,0.00,0.08,-4.77,0.00,-0.07,-1.18,1014.00,1012.00,
13.82,0.00,0.08,-4.77,0.00,-0.07,-1.18,1014.00,1012.00,
13.83,0.00,0.08,-4.77,0.00,-0.07,-1.18,1014.00,1012.00,
13.84,0.00,0.08,-4.77,0.00,-0.07,-1.18,1014.00,1012.00,
13.85,0.00,0.08,-4.77,0.00,-0.07,-1.18,1014.00,1012.00,
13.86,0.00,0.08,-4.77,0.00,-0.07,-1.18,1013.00,1012.00,
13.87,0.00,0.08,-4.77,0.00,-0.07,-1.18,1014.00,1012.00,
